Slot,AV
1,71
2,68
3,68.5
4,67
5,67
6,65.5
7,63
8,61.5
9,59
10,57
11,56.5
12,53
13,52.5
14,52
15,52
16,51
17,51
18,50
19,48.5
20,48
21,47.5
22,45.5
23,46
24,45.5
25,43.5
26,42.5
27,41
28,40.5
29,40.5
30,39.5
31,42
32,41.5
33,42
34,40.5
35,39.5
36,40
37,39.5
38,40.5
39,40
40,39.5
41,39.5
42,39
43,38
44,37
45,37
46,37
47,37
48,36.5
49,36
50,34.5
51,32.5
52,32
53,31.5
54,31.5
55,30.5
56,29.5
57,26.5
58,27
59,27.5
60,28
61,27.5
62,28
63,27.5
64,27
65,26
66,26.5
67,26.5
68,28
69,27
70,26
71,24.5
72,25
73,24.5
74,23.5
75,22.5
76,22.5
77,21.5
78,21
79,19.5
80,20
81,21
82,19.5
83,19.5
84,19.5
85,18.5
86,21
87,20
88,21.5
89,18
90,18
91,19
92,19.5
93,20.5
94,20
95,20.5
96,20.5
97,20.5
98,20.5
99,19
100,20
101,19
102,18.5
103,16.5
104,15.5
105,15
106,14.5
107,15.5
108,16
109,19.5
110,19.5
111,18
112,17
113,17.5
114,17.5
115,17.5
116,17.5
117,16
118,14
119,12.5
120,12.5
121,11
122,11.5
123,11.5
124,11.5
125,11
126,11
127,11
128,11.5
129,12
130,12
131,11
132,11.5
133,12
134,12
135,12
136,12.5
137,12
138,11.5
139,10.5
140,11.5
141,11.5
142,11.5
143,10.5
144,9.5
145,9.5
146,9
147,8.5
148,9
149,9
150,9
151,8
152,9
153,9.5
154,10.5
155,10
156,10
157,10.5
158,10.5
159,9.5
160,9.5
161,10
162,10
163,10
164,9
165,8
166,8.5
167,7.5
168,6.5
169,6.5
170,6
171,6.5
172,6
173,6
174,6
175,6
176,7.5
177,7
178,7.5
179,5.5
180,6
181,6
182,6.5
183,7
184,6.5
185,5
186,5
187,5
188,5
189,5
190,6
191,6
192,6
193,5
194,4
195,4.5
196,5
197,5.5
198,6.5
199,6
200,5.5
201,5
202,5.5
203,6.5
204,7
205,7
206,7
207,7
208,6
209,6
210,6.5
211,6
212,6
213,6
214,5.5
215,5.5
216,6
217,6
218,5.5
219,5.5
220,5
221,5
222,5
223,5
224,5
