"Year","AV","iteration_id"
2004,"6",1
2005,"10",1
2006,"8",1
2007,"12",1
2009,"9",1
2010,"7",1
2011,"10",1
2012,"5",1
2013,"7",1
2014,"6",1
2015,"11",1
2016,"9",1
2017,"8",1
2018,"5",1
2019,"7",1
2020,"4",1
1998,"11",2
1999,"18",2
2000,"18",2
2001,"15",2
2002,"15",2
2006,"20",2
2007,"17",2
2010,"16",2
2011,"Missed season - Injured (neck)",2
2014,"16",2
2015,"2",2
2007,"12",3
2010,"11",3
2011,"8",3
2013,"11",3
2014,"1",3
2016,"1",3
2017,"4",3
2018,"6",3
2019,"6",3
2020,"4",3
2011,"1",4
2012,"3",4
2013,"3",4
2014,"0",4
2015,"0",4
2001,"4",5
2002,"17",5
2003,"4",5
2004,"15",5
2005,"13",5
2006,"15",5
2007,"Missed season - Violation of league personal conduct policy",5
2008,"Missed season - Violation of league personal conduct policy",5
2009,"1",5
2010,"14",5
2011,"12",5
2012,"7",5
2013,"5",5
2014,"2",5
2015,"2",5
2001,"2",6
2002,"9",6
2003,"14",6
2004,"11",6
2007,"14",6
2008,"4",6
2009,"9",6
2010,"7",6
2011,"3",6
2007,"0",7
2008,"0",7
2009,"2",7
2010,"3",7
2011,"5",7
2012,"3",7
2007,"1",8
2008,"12",8
2009,"14",8
2010,"11",8
2011,"7",8
2012,"7",8
2013,"5",8
2014,"2",8
2015,"2",8
2003,"1",9
2004,"5",9
2005,"4",9
2006,"12",9
2007,"6",9
2009,"12",9
2011,"6",9
2012,"6",9
2013,"0",9
2005,"2",10
2006,"0",10
2007,"0",10
2008,"3",10
2009,"3",10
2010,"9",10
2011,"11",10
2012,"11",10
2013,"9",10
2014,"8",10
2015,"13",10
2016,"5",10
2017,"3",10
2018,"7",10
2019,"10",10
2020,"7",10
2006,"9",11
2007,"9",11
2008,"6",11
2009,"7",11
2010,"9",11
2011,"11",11
2012,"7",11
2013,"13",11
2014,"12",11
2015,"9",11
2016,"3",11
2017,"0",11
2006,"9",12
2007,"7",12
2008,"10",12
2011,"8",12
2012,"5",12
2013,"7",12
2014,"7",12
2015,"10",12
2016,"3",12
2001,"2",13
2002,"9",13
2003,"14",13
2004,"11",13
2007,"14",13
2008,"4",13
2009,"9",13
2010,"7",13
2011,"3",13
2007,"8",14
2009,"16",14
2010,"10",14
2011,"0",14
2012,"2",14
2013,"7",14
2014,"2",14
2015,"1",14
2006,"4",15
2007,"8",15
2008,"7",15
2009,"5",15
2010,"6",15
2011,"8",15
2012,"0",15
2013,"6",15
2014,"6",15
2005,"9",16
2006,"10",16
2007,"17",16
2008,"10",16
2009,"16",16
2011,"15",16
2012,"11",16
2013,"14",16
2014,"6",16
2015,"9",16
2008,"9",17
2009,"7",17
2011,"7",17
2012,"11",17
2013,"3",17
2014,"3",17
2015,"5",17
2006,"8",18
2007,"6",18
2008,"7",18
2009,"6",18
2010,"6",18
2011,"6",18
2012,"6",18
2013,"2",18
2014,"5",18
2008,"5",19
2009,"7",19
2010,"7",19
2011,"7",19
2012,"6",19
2013,"7",19
2014,"6",19
2015,"4",19
2016,"3",19
2007,"1",20
2008,"6",20
2009,"9",20
2010,"6",20
2011,"14",20
2012,"3",20
2014,"7",20
2016,"3",20
2017,"3",20
2018,"8",20
2019,"2",20
2006,"4",21
2007,"5",21
2008,"4",21
2009,"8",21
2010,"5",21
2011,"13",21
2012,"10",21
2013,"6",21
2014,"7",21
2015,"7",21
2016,"3",21
2017,"5",21
2018,"5",21
2019,"4",21
2020,"2",21
2005,"1",22
2006,"2",22
2007,"6",22
2008,"10",22
2010,"8",22
2011,"10",22
2012,"2",22
2013,"1",22
2014,"4",22
2015,"1",22
2006,"9",23
2007,"7",23
2008,"17",23
2009,"12",23
2012,"13",23
2013,"11",23
2014,"6",23
2015,"5",23
2016,"5",23
2017,"2",23
2018,"4",23
2007,"2",24
2008,"4",24
2009,"7",24
2010,"11",24
2011,"10",24
2012,"11",24
2013,"8",24
2014,"11",24
2015,"9",24
2016,"9",24
2017,"6",24
2006,"8",26
2007,"11",26
2008,"7",26
2009,"11",26
2010,"6",26
2011,"5",26
2012,"2",26
2013,"3",26
2014,"1",26
2006,"3",27
2007,"12",27
2008,"11",27
2009,"9",27
2010,"6",27
2011,"10",27
2013,"12",27
2014,"6",27
2015,"13",27
2016,"5",27
2017,"1",27
2018,"1",27
2006,"5",28
2007,"6",28
2008,"13",28
2009,"10",28
2010,"2",28
2011,"7",28
